emp_no,first_name,second_name,department,wage,project_completion_rate
1,Pamela,Farmer,Research,36682.89,53.12270752023262
2,James,Walker,Research,55915.09,50.93791014802567
3,Charles,Wilkinson,Sales,28988.38,55.608605825150846
4,Christopher,Phillips,Sales,59934.47,51.410669368682285
5,Mark,Daugherty,Testing,27426.32,43.89881929945893
6,Hunter,Phelps,Research,25451.5,38.84874137646914
7,Sarah,Baird,Testing,10429.32,59.30521739732193
8,Barbara,Hill,HR,36038.65,38.04375965152897
9,Timothy,Martinez,Sales,62921.27,41.04053724620262
10,Mark,Mckinney,Testing,34832.78,65.68432955827059
11,Matthew,Harris,Research,62605.57,52.32899960224583
12,Scott,Myers,Sales,61198.09,38.37160177709434
13,Eduardo,Hughes,Research,16296.84,51.05412935013113
14,Arthur,Martin,IT,48568.46,40.95818201961758
15,David,Clarke,HR,81133.39,54.04661081977466
16,Toni,Lee,Research,3118.79,44.67855948833726
17,Erin,Valentine,Testing,97242.18,61.30587066328804
18,Raymond,Jenkins,Research,57637.3,60.64073078899667
19,Mr.,Kevin,HR,38475.61,63.7484507817706
20,Patricia,Jimenez,Testing,36635.65,36.11174594655588
21,Crystal,Welch,Testing,70874.0,51.11519095341748
22,Tracy,Gonzalez,HR,2519.09,36.9147420529271
23,Rodney,Bradley,Research,54887.26,43.40337539745248
24,Daniel,Huffman,Testing,79643.05,38.25668620543682
25,Daniel,Ferguson,HR,16066.65,74.41967465675933
26,Ricardo,Duran,Testing,37667.76,63.87875259226713
27,Lucas,Simmons,HR,64853.03,44.214249557676695
28,Daniel,Herring,IT,9959.33,55.65695316693743
29,Derrick,Kane,IT,7258.52,63.00310888564201
30,Debra,Carpenter,Testing,8608.18,46.933168279463445
31,Sherry,Jackson,Testing,17880.8,33.35032171213334
32,Brian,Fowler,Sales,98107.75,46.414058262362445
33,Emily,Peters,IT,96296.91,50.06430258461603
34,Brenda,Smith,Testing,54380.1,33.12642496762737
35,Crystal,Watkins,Sales,52653.49,40.60285374677295
36,Carmen,Garcia,Sales,82285.05,61.20989130418356
37,Billy,Nguyen,Research,95432.66,61.73842972274295
38,Colin,Spencer,IT,36508.6,41.5621271187691
39,Lisa,Fleming,Research,44270.24,34.770808707589765
40,Elizabeth,Meyers,Sales,20677.27,50.99755245649544
41,Johnathan,Russell,Research,75406.83,60.00474726417569
42,Brian,Reynolds,IT,31991.47,51.086567104575764
43,Kelli,Collins,HR,44481.58,55.33305596877143
44,Jamie,Foster,Testing,93113.71,44.65867076664958
45,Amanda,Underwood,Testing,59589.67,63.959259775282064
46,Ms.,Carmen,Sales,32790.75,49.770841091933534
47,Kirsten,Swanson,Research,14003.88,69.00635293979121
48,Amy,Pineda,Testing,91441.59,60.48493414976491
49,Brittany,Butler,Research,58948.7,52.57181005539785
50,Shelby,Anderson,Research,70910.24,50.707353941170076
51,Kevin,Leonard,IT,9589.46,47.85167787093254
52,Christina,Robles,Sales,90635.59,47.14427405777888
53,John,Armstrong,Sales,82137.03,44.264183255035974
54,Angela,Jones,Research,59666.53,48.75380619734558
55,Michael,Adams,Testing,76704.42,44.02943620435278
56,Megan,Stanley,IT,55786.8,60.730852283694155
57,Phillip,Barnes,Testing,31821.99,53.59875250988096
58,Kimberly,Casey,Sales,49395.65,36.65319463545609
59,Mallory,Jones,Research,13969.06,25.314852759158413
60,Suzanne,Bradshaw,Research,29336.78,51.40352751006169
61,Abigail,Williams,HR,22132.43,54.4696542845995
