id,fname,lname,phone,fee,date
1,Ursuline,Hultberg,+353-770-158-8366,$200,2020/1/1
2,Libby,Seawright,+353-435-648-7279,$200,2020/1/1
3,Kori,Danilyak,+353-376-374-4579,$200,21/1/3
4,Vilhelmina,Ewence,+353-650-845-9032,h$200,2019/3/2
5,Edlin,Ratnage,+353-531-517-6932,£1500,2020/3/2
,Carlye,Pitone,+00-764-929-4314,£1500,2018/5/2
7,Deny,Belvin,+353-834-293-6207,£1500,2020/7/7
8,Laurianne,Bonelle,+63-492-808-4165,£100, 2021/11/9
9,Royce,Strudwick,+353-432-820-9403,@1500, 2021/11/9
,Lora,Cathie,+353-431-348-0841,€4215, 20/1/9
